"st_loc","near_loc","overlap_percent20","overlap_percent50","overlap_percent100","overlap_percent200","overlap_percent300"
"Olloba01","Mbandaka22",0,0,0,0,16.3
"Olloba01","Odzala",0,9,49.4,74.1,82.7
"Olloba01","Mayibout",0,0,13.4,52.7,68
"Olloba01","Ekata",22.8,66.9,83.3,91.6,94.4
"Olloba01","Kikwit",0,0,0,0,0
"Olloba01","Bikoro",0,0,0,0,10.7
"Olloba01","Mbandza",10.7,60.2,79.8,89.9,93.2
"Olloba01","Olloba01",100,100,100,100,100
"Olloba01","Nkivu",0,0,0,0,0
"Olloba01","Booue",0,0,0,19.7,43.5
"Olloba01","Likati",0,0,0,0,0
"Olloba01","Boende",0,0,0,0,0
"Olloba01","Mvoula",0,27.2,61.6,80.6,87
"Olloba01","Mekouka",0,0,2.4,43.3,61.4
"Olloba01","Olloba02",100,100,100,100,100
"Mvoula","Mbandaka20",0,0,0,0,17.6
"Mvoula","Luebo",0,0,0,0,0
"Mvoula","Mbandaka22",0,0,0,0,17.7
"Mvoula","Odzala",0,0,23.9,59.6,72.8
"Mvoula","Mayibout",0,0,1.9,42.7,60.9
"Mvoula","Ekata",0,13.7,52.9,76,83.9
"Mvoula","Kikwit",0,0,0,0,0
"Mvoula","Bikoro",0,0,0,0,13.5
"Mvoula","Mbandza",0,28,62.1,80.8,87.2
"Mvoula","Olloba01",0,27.2,61.6,80.6,87
"Mvoula","Nkivu",0,0,0,0,0
"Mvoula","Booue",0,0,0,20,43.8
"Mvoula","Likati",0,0,0,0,0
"Mvoula","Boende",0,0,0,0,0
"Mvoula","Mvoula",100,100,100,100,100
"Mvoula","Mekouka",0,0,0,32.4,53.4
"Mvoula","Olloba02",0,27.2,61.6,80.6,87
"Mbandza","Mbandaka20",0,0,0,0,21
"Mbandza","Luebo",0,0,0,0,0
"Mbandza","Mbandaka22",0,0,0,0,21.1
"Mbandza","Odzala",0,19.9,57.1,78.2,85.4
"Mbandza","Mayibout",0,0,2.7,43.6,61.6
"Mbandza","Ekata",0,30.6,63.6,81.6,87.7
"Mbandza","Kikwit",0,0,0,0,0
"Mbandza","Bikoro",0,0,0,0,14.9
"Mbandza","Mbandza",100,100,100,100,100
"Mbandza","Olloba01",10.7,60.2,79.8,89.9,93.2
"Mbandza","Nkivu",0,0,0,0,0
"Mbandza","Booue",0,0,0,13.3,38.1
"Mbandza","Likati",0,0,0,0,0
"Mbandza","Boende",0,0,0,0,0
"Mbandza","Mvoula",0,28,62.1,80.8,87.2
"Mbandza","Mekouka",0,0,0,34.9,55.3
"Mbandza","Olloba02",10.7,60.2,79.8,89.9,93.2
"Odzala","Mbandaka20",0,0,0,0.3,23.2
"Odzala","Luebo",0,0,0,0,0
"Odzala","Mbandaka22",0,0,0,0.4,23.3
"Odzala","Odzala",100,100,100,100,100
"Odzala","Mayibout",0,0,0,38.5,57.9
"Odzala","Ekata",0,0.7,40.9,69.5,79.6
"Odzala","Kikwit",0,0,0,0,0
"Odzala","Bikoro",0,0,0,0,15
"Odzala","Mbandza",0,19.9,57.1,78.2,85.4
"Odzala","Olloba01",0,9,49.4,74.1,82.7
"Odzala","Nkivu",0,0,0,0,0
"Odzala","Booue",0,0,0,5.3,30.3
"Odzala","Likati",0,0,0,0,0
"Odzala","Boende",0,0,0,0,0
"Odzala","Mvoula",0,0,23.9,59.6,72.8
"Odzala","Mekouka",0,0,0,32.7,53.6
"Odzala","Olloba02",0,9,49.4,74.1,82.7
"Mbandaka22","Mbandaka20",97.5,99,99.5,99.8,99.8
"Mbandaka22","Luebo",0,0,0,0,0
"Mbandaka22","Mbandaka22",100,100,100,100,100
"Mbandaka22","Odzala",0,0,0,0.4,23.3
"Mbandaka22","Mayibout",0,0,0,0,0.4
"Mbandaka22","Ekata",0,0,0,0,12.7
"Mbandaka22","Kikwit",0,0,0,0,15.6
"Mbandaka22","Bikoro",0,1.5,42.1,70.1,80
"Mbandaka22","Mbandza",0,0,0,0,21.1
"Mbandaka22","Olloba01",0,0,0,0,16.3
"Mbandaka22","Nkivu",0,0,0,0,0
"Mbandaka22","Booue",0,0,0,0,0
"Mbandaka22","Likati",0,0,0,0,0
"Mbandaka22","Boende",0,0,0,15.8,40.3
"Mbandaka22","Mvoula",0,0,0,0,17.7
"Mbandaka22","Mekouka",0,0,0,0,0
"Mbandaka22","Olloba02",0,0,0,0,16.3
"Nkivu","Mbandaka20",0,0,0,0,0
"Nkivu","Luebo",0,0,0,0,0
"Nkivu","Mbandaka22",0,0,0,0,0
"Nkivu","Odzala",0,0,0,0,0
"Nkivu","Mayibout",0,0,0,0,0
"Nkivu","Ekata",0,0,0,0,0
"Nkivu","Kikwit",0,0,0,0,0
"Nkivu","Bikoro",0,0,0,0,0
"Nkivu","Mbandza",0,0,0,0,0
"Nkivu","Olloba01",0,0,0,0,0
"Nkivu","Nkivu",100,100,100,100,100
"Nkivu","Booue",0,0,0,0,0
"Nkivu","Likati",0,0,0,0,0
"Nkivu","Boende",0,0,0,0,0
"Nkivu","Mvoula",0,0,0,0,0
"Nkivu","Mekouka",0,0,0,0,0
"Nkivu","Olloba02",0,0,0,0,0
"Kikwit","Mbandaka20",0,0,0,0,15.6
"Kikwit","Luebo",0,0,0,0.4,23.4
"Kikwit","Mbandaka22",0,0,0,0,15.6
"Kikwit","Odzala",0,0,0,0,0
"Kikwit","Mayibout",0,0,0,0,0
"Kikwit","Ekata",0,0,0,0,0
"Kikwit","Kikwit",100,100,100,100,100
"Kikwit","Bikoro",0,0,0,5.2,30.1
"Kikwit","Mbandza",0,0,0,0,0
"Kikwit","Olloba01",0,0,0,0,0
"Kikwit","Nkivu",0,0,0,0,0
"Kikwit","Booue",0,0,0,0,0
"Kikwit","Likati",0,0,0,0,0
"Kikwit","Boende",0,0,0,0,2
"Kikwit","Mvoula",0,0,0,0,0
"Kikwit","Mekouka",0,0,0,0,0
"Kikwit","Olloba02",0,0,0,0,0
"Luebo","Mbandaka20",0,0,0,0,0
"Luebo","Luebo",100,100,100,100,100
"Luebo","Mbandaka22",0,0,0,0,0
"Luebo","Odzala",0,0,0,0,0
"Luebo","Mayibout",0,0,0,0,0
"Luebo","Ekata",0,0,0,0,0
"Luebo","Kikwit",0,0,0,0.4,23.4
"Luebo","Bikoro",0,0,0,0,0.2
"Luebo","Mbandza",0,0,0,0,0
"Luebo","Olloba01",0,0,0,0,0
"Luebo","Nkivu",0,0,0,0,0
"Luebo","Booue",0,0,0,0,0
"Luebo","Likati",0,0,0,0,0
"Luebo","Boende",0,0,0,0,0
"Luebo","Mvoula",0,0,0,0,0
"Luebo","Mekouka",0,0,0,0,0
"Luebo","Olloba02",0,0,0,0,0
"Mbandaka20","Mbandaka20",100,100,100,100,100
"Mbandaka20","Luebo",0,0,0,0,0
"Mbandaka20","Mbandaka22",97.5,99,99.5,99.8,99.8
"Mbandaka20","Odzala",0,0,0,0.3,23.2
"Mbandaka20","Mayibout",0,0,0,0,0.4
"Mbandaka20","Ekata",0,0,0,0,12.6
"Mbandaka20","Kikwit",0,0,0,0,15.6
"Mbandaka20","Bikoro",0,1.6,42.2,70.2,80
"Mbandaka20","Mbandza",0,0,0,0,21
"Mbandaka20","Olloba01",0,0,0,0,16.2
"Mbandaka20","Nkivu",0,0,0,0,0
"Mbandaka20","Booue",0,0,0,0,0
"Mbandaka20","Likati",0,0,0,0,0
"Mbandaka20","Boende",0,0,0,16,40.5
"Mbandaka20","Mvoula",0,0,0,0,17.6
"Mbandaka20","Mekouka",0,0,0,0,0
"Mbandaka20","Olloba02",0,0,0,0,16.2
"Bikoro","Mbandaka20",0,1.6,42.2,70.2,80
"Bikoro","Luebo",0,0,0,0,0.2
"Bikoro","Mbandaka22",0,1.5,42.1,70.1,80
"Bikoro","Odzala",0,0,0,0,15
"Bikoro","Mayibout",0,0,0,0,0
"Bikoro","Ekata",0,0,0,0,7.5
"Bikoro","Kikwit",0,0,0,5.2,30.1
"Bikoro","Bikoro",100,100,100,100,100
"Bikoro","Mbandza",0,0,0,0,14.9
"Bikoro","Olloba01",0,0,0,0,10.7
"Bikoro","Nkivu",0,0,0,0,0
"Bikoro","Booue",0,0,0,0,0
"Bikoro","Likati",0,0,0,0,0
"Bikoro","Boende",0,0,0,14.8,39.4
"Bikoro","Mvoula",0,0,0,0,13.5
"Bikoro","Mekouka",0,0,0,0,0
"Bikoro","Olloba02",0,0,0,0,10.7
"Likati","Mbandaka20",0,0,0,0,0
"Likati","Luebo",0,0,0,0,0
"Likati","Mbandaka22",0,0,0,0,0
"Likati","Odzala",0,0,0,0,0
"Likati","Mayibout",0,0,0,0,0
"Likati","Ekata",0,0,0,0,0
"Likati","Kikwit",0,0,0,0,0
"Likati","Bikoro",0,0,0,0,0
"Likati","Mbandza",0,0,0,0,0
"Likati","Olloba01",0,0,0,0,0
"Likati","Nkivu",0,0,0,0,0
"Likati","Booue",0,0,0,0,0
"Likati","Likati",100,100,100,100,100
"Likati","Boende",0,0,0,0,11
"Likati","Mvoula",0,0,0,0,0
"Likati","Mekouka",0,0,0,0,0
"Likati","Olloba02",0,0,0,0,0
"Boende","Mbandaka20",0,0,0,16,40.5
"Boende","Luebo",0,0,0,0,0
"Boende","Mbandaka22",0,0,0,15.8,40.3
"Boende","Odzala",0,0,0,0,0
"Boende","Mayibout",0,0,0,0,0
"Boende","Ekata",0,0,0,0,0
"Boende","Kikwit",0,0,0,0,2
"Boende","Bikoro",0,0,0,14.8,39.4
"Boende","Mbandza",0,0,0,0,0
"Boende","Olloba01",0,0,0,0,0
"Boende","Nkivu",0,0,0,0,0
"Boende","Booue",0,0,0,0,0
"Boende","Likati",0,0,0,0,11
"Boende","Boende",100,100,100,100,100
"Boende","Mvoula",0,0,0,0,0
"Boende","Mekouka",0,0,0,0,0
"Boende","Olloba02",0,0,0,0,0
"Olloba02","Mbandaka20",0,0,0,0,16.2
"Olloba02","Luebo",0,0,0,0,0
"Olloba02","Mbandaka22",0,0,0,0,16.3
"Olloba02","Odzala",0,9,49.4,74.1,82.7
"Olloba02","Mayibout",0,0,13.4,52.7,68
"Olloba02","Ekata",22.8,66.9,83.3,91.6,94.4
"Olloba02","Kikwit",0,0,0,0,0
"Olloba02","Bikoro",0,0,0,0,10.7
"Olloba02","Mbandza",10.7,60.2,79.8,89.9,93.2
"Olloba02","Olloba01",100,100,100,100,100
"Olloba02","Nkivu",0,0,0,0,0
"Olloba02","Booue",0,0,0,19.7,43.5
"Olloba02","Likati",0,0,0,0,0
"Olloba02","Boende",0,0,0,0,0
"Olloba02","Mvoula",0,27.2,61.6,80.6,87
"Olloba02","Mekouka",0,0,2.4,43.3,61.4
"Olloba02","Olloba02",100,100,100,100,100
